자치구,인구,세대수,성비,년도,면적,가구수,one,출생건수,사망건수,혼인건수,이혼건수,인력수,차량수,1인세대수,면적대비1인세대,외국인비율,인구밀도,세대당인구,출생률,사망률,혼인률,이혼률,one비율,인구대비one,면적대비one
양천구,477739,177434,0.98,2016,17.41,163253,32878,3334.0,1891.0,2258.0,821.0,113,52,47141.0,2707.696726019529,0.0170552771119343,27440.49396898334,2.692488474587734,6.978705946133768,3.9582282375941675,4.726430121886637,1.7185115722183033,0.20139292999209815,0.06882000422825016,1888.4549109707066
강서구,595485,245045,0.95,2016,41.44,222652,60988,5456.0,2594.0,4111.0,1112.0,115,60,83462.0,2013.558504221954,0.0198669997209784,14369.811776061777,2.4301046746515946,9.162279486469012,4.356113084292636,6.903616379925607,1.8673854085325408,0.27391624598027414,0.10241735728020017,1471.7181467181467
구로구,417551,172220,0.99,2016,20.12,156671,42055,3736.0,1794.0,2674.0,783.0,104,58,59834.0,2973.8568588469184,0.1153675205505639,20753.03180914513,2.4245209615607943,8.947410016979962,4.296481148410614,6.404008133138228,1.8752200330019566,0.268428745587888,0.10071823561672706,2090.2087475149106
금천구,235386,104483,1.04,2016,13.02,93402,31728,1595.0,1163.0,1324.0,535.0,74,33,42887.0,3293.932411674348,0.1116918720250647,18078.80184331797,2.252864102294153,6.776103931414783,4.94082060955197,5.624803514227694,2.272862447214363,0.33969294019400015,0.1347913639723688,2436.8663594470045
영등포구,370613,165729,1.0,2016,24.53,146904,49453,3282.0,1643.0,2609.0,693.0,116,64,70252.0,2861.588594704684,0.1362582630863441,15108.560945780677,2.2362591942267196,8.855598697293404,4.433195813422627,7.039688300194543,1.8698750448581134,0.33663480912704896,0.1334356862819167,2016.0211985324092
동작구,400997,172506,0.96,2016,16.35,159770,52954,3184.0,1667.0,2514.0,590.0,0,0,66694.0,4076.650366748167,0.0449243662308673,24525.810397553516,2.3245394363094616,7.940209028995229,4.157138332705731,6.269373586336057,1.4713327032371812,0.3314389434812543,0.13205585079190119,3238.7767584097855
관악구,506851,251955,1.02,2016,29.57,230570,103972,3561.0,2137.0,3537.0,926.0,82,48,128682.0,4351.77544808928,0.0556879950228973,17140.71694284748,2.011672719334802,7.025733400940315,4.216229227129866,6.97838220699969,1.826966899542469,0.4509346402394067,0.20513326401644666,3516.1312140683126
서초구,447192,173970,0.92,2016,46.98,155051,38357,3629.0,1480.0,2676.0,565.0,0,0,54948.0,1169.6040868454663,0.0183663841125904,9518.773946360154,2.5705121572684946,8.11508255961645,3.309540421116657,5.98400686953255,1.2634394175208858,0.24738311910274685,0.08577300130592676,816.4538101319711
강남구,567115,234080,0.92,2016,39.5,208904,61998,4122.0,1780.0,3032.0,867.0,461,156,87495.0,2215.0632911392404,0.0170622574894256,14357.341772151898,2.42274008885851,7.26836708604075,3.138693210371794,5.346358322386112,1.528790456961992,0.29677746716194997,0.10932174250372499,1569.5696202531647
송파구,657831,258382,0.95,2016,33.88,230801,54409,5500.0,2174.0,4102.0,1039.0,213,104,81256.0,2398.3471074380163,0.0188917596316091,19416.499409681226,2.5459629540757485,8.360809995272342,3.3048001690403765,6.235644109201299,1.5794330154705387,0.2357398798098795,0.0827096929150496,1605.9327036599764
강동구,444168,177460,0.99,2016,24.59,160021,39469,3293.0,1791.0,2399.0,806.0,0,0,57735.0,2347.9056527043517,0.0179457884855652,18062.9524196828,2.502918967654683,7.413861421804362,4.032258064516129,5.401109490102844,1.8146286990508096,0.2466488773348498,0.0888605212442139,1605.0833672224483
종로구,154770,73594,0.96,2017,23.91,62372,23638,689.0,826.0,700.0,265.0,120,67,35539.0,1486.3655374320367,0.072404462955644,6473.0238393977415,2.1030247031007963,4.4517671383343025,5.336951605608322,4.522840343735866,1.7122181301285777,0.3789841595587764,0.15272985720746915,988.6240066917608
중구,125709,60412,0.98,2017,9.96,52208,20164,808.0,684.0,792.0,253.0,150,72,28845.0,2896.084337349397,0.0845660621280453,12621.385542168673,2.080861418261273,6.427542976238773,5.4411378660239125,6.300264897501372,2.0125846200351605,0.3862243334354888,0.1604021987288102,2024.4979919678713
용산구,229161,107666,0.94,2017,21.87,91102,33076,1464.0,1150.0,1357.0,389.0,90,64,49518.0,2264.197530864197,0.0766488258542502,10478.32647462277,2.128443519774116,6.388521607079738,5.018305907200614,5.921600970496725,1.697496519913947,0.36306557485016794,0.14433520537962394,1512.3914037494283
성동구,304808,132902,0.97,2017,16.86,120957,39067,2462.0,1399.0,2096.0,509.0,0,0,51798.0,3072.2419928825625,0.0398777470528307,18078.76631079478,2.2934794058780152,8.077215821107059,4.589774546599827,6.876459935434766,1.6699036770688434,0.32298254751688615,0.1281692081572662,2317.141162514828
광진구,357703,160798,0.95,2017,17.06,147846,54866,2347.0,1346.0,2082.0,612.0,0,0,68171.0,3995.955451348183,0.055952613284526,20967.350527549825,2.224548812796179,6.561309242583932,3.762898270352779,5.820471173012248,1.7109165984070585,0.37110236326988894,0.15338423217026415,3216.060961313013
동대문구,350647,159938,1.0,2017,14.21,145294,54030,2117.0,1780.0,1657.0,624.0,144,90,70090.0,4928.973277074542,0.0579247836420911,24676.073187895847,2.1923933024046818,6.037410843383802,5.076330326510708,4.725550197206878,1.7795674852486973,0.37186669786777155,0.15408658850638962,3802.251935256861
