년도,자치구,점포수,연도별_평균_상권_매출금액,연도별_주중_평균_상권_매출금액,연도별_주말_평균_상권_매출금액,연도별_월요일_평균_상권_매출금액,연도별_화요일_평균_상권_매출금액,연도별_수요일_평균_상권_매출금액,연도별_목요일_평균_상권_매출금액,연도별_금요일_평균_상권_매출금액,연도별_토요일_평균_상권_매출금액,연도별_일요일_평균_상권_매출금액,연도별_00_06_시간대_평균_상권_매출금액,연도별_06_11_시간대_평균_상권_매출금액,연도별_11_14_시간대_평균_상권_매출금액,연도별_14_17_시간대_평균_상권_매출금액,연도별_17_21_시간대_평균_상권_매출금액,연도별_21_24_시간대_평균_상권_매출금액,연도별_남성_평균_상권_매출금액,연도별_여성_평균_상권_매출금액,연도별_10대_평균_상권_매출금액,연도별_20대_평균_상권_매출금액,연도별_30대_평균_상권_매출금액,연도별_40대_평균_상권_매출금액,연도별_50대_평균_상권_매출금액,연도별_60대이상_평균_상권_매출금액
2017,용산구,36781,62825620.0891884,64786879.91712817,55114225.68553957,56509872.54205516,62323714.681065105,56333828.578563325,60004514.808743715,60718439.68690871,55892371.12901028,50960561.753794566,58246106.059738964,51689201.20049861,46187995.229185164,54821798.811986506,61640339.412392445,71089232.37429544,57406831.79123188,52023725.35529361,25405094.898057107,38336457.39497188,47521873.10783935,55303572.6480504,58899807.193286054,66065840.65872798
2017,은평구,28386,72974337.76061636,73661628.23037635,60944695.47755177,73903260.19568907,70967726.12242047,66083084.00932099,67853453.8295218,67422031.92235503,61335920.33812792,58177586.97296519,45214274.460234806,56266949.48127503,55971918.47879032,67417826.25873661,76705144.73472874,0.0,62879162.96150808,65308160.333281696,28714813.127982046,45140075.591473185,63227077.58295875,62140598.200761676,67876191.41641615,64939614.09185299
2017,종로구,56316,68709823.8951339,69760143.1722143,59031477.384907454,65838014.749993525,63733358.08845158,65218383.27753573,61475480.16578956,71269356.85976596,60209130.28691988,50464812.06572396,61747290.768216975,52560900.541419655,53343536.96649844,60847607.329545245,66589795.37212486,80996674.01637037,59607836.75918363,55889544.73434892,24040492.658558927,39651475.96573451,57847607.84291099,56023821.430922404,63285439.19866133,65304830.05142133
2017,중구,58795,72771765.8310017,72012585.88081075,64828925.899128504,66433108.48707045,69457981.00620483,67512639.61522083,65411164.469672844,68384572.24111013,64849538.730325334,56124045.71291734,0.0,0.0,52258869.99315804,65148094.8615267,70330659.17947225,87312364.49590103,62447010.35541195,60779963.14454864,26530844.29917997,40105920.78511118,54854159.81591183,67003518.88272506,69126054.4893593,69023691.53613271
2017,중랑구,27864,54442496.531294145,54070590.55381473,51005073.1089575,49875030.24169462,50863591.66560952,51174239.83529987,52510450.582969666,51593232.98311019,51839183.596384436,46477566.43360625,0.0,38277418.89441848,44338480.40574432,50645057.97451588,50040859.685378335,52299653.20093419,50255316.42583371,50216830.83403844,0.0,38982807.72106364,48494573.90862781,51837844.6061473,52894686.88252476,51706370.409156054
2018,강남구,81571,128684264.78171617,127838616.06751946,128722796.04841033,115066241.1961404,123829264.22924401,123347591.35002387,128191335.23229924,121156761.21424516,127307221.34346542,126284953.2494688,0.0,90404323.26901558,79859960.55129544,118584104.05695067,132171477.46483085,178251488.9234095,115878962.67656809,97357732.50333007,0.0,74012083.35647441,93769628.61875367,122196592.36128461,120778816.98031545,132588358.63032575
2018,강동구,33663,68837684.90877803,68591202.21563995,59974481.68814504,56185522.26441463,66734268.28580841,59755536.79496412,61813910.08804523,68098997.69688225,60843635.8236726,50819993.17433787,0.0,0.0,62585400.8760915,62522053.84534363,58686820.31846378,61141597.41811212,56395829.912549764,61679794.580306634,0.0,45702382.45638665,50811572.03837722,54875072.344983995,0.0,57308096.78861769
2018,강북구,23503,56904545.54234259,56485061.9960642,47648110.90942054,46456599.07764385,46850154.18199966,55199482.74176314,49078125.46539853,53909718.32017379,47559657.383165404,44534432.218869455,32180133.81424283,0.0,43791931.62876051,53037409.39164129,52058273.03218465,46403642.42810849,51620610.98318763,55083094.76757116,0.0,33972664.54803622,47985735.43629698,55001316.41420386,50566632.26982419,47573628.32514877
2018,강서구,33934,63683914.54076102,63403627.038941644,59596994.15003121,57477755.72101867,59603158.244229205,63657549.092897914,62930641.42808942,59598796.97362856,59905345.98811987,56569749.75746538,0.0,0.0,48731354.63298177,54854524.6702854,59513147.68771773,69882514.92562397,58346680.50863148,55351883.68880439,27854694.70285371,45904778.31760707,52549409.954013616,56314019.059369035,62101917.79058955,62217639.83878607
2018,관악구,33625,59602271.76296964,59319690.9032858,55571855.54319155,55413350.62489577,54252436.80526268,56233655.55859051,57855724.792328924,61531858.72176202,55784258.53183048,51762607.21286604,41648009.2174305,44997096.325988606,50261562.02135881,55978417.036041215,55971216.11188841,60131718.082172014,58571407.083498135,54721428.31765141,28437161.823446922,41718176.304254025,49461552.19099833,57888862.886445194,58641726.50190658,62573170.97624183
