자치구,주택수,단독주택수,다가구주택수,아파트수,년도,월세거래수,월세평균임대면적,월세평균보증금액,월세평균임대료액,다가구주택_월세거래수,다가구주택_월세평균임대면적,다가구주택_월세평균보증금액,다가구주택_월세평균임대료액,전세거래수,전세평균임대면적,전세평균보증금액,다가구주택_전세거래수,아파트_전세거래수,다가구주택_전세평균임대면적,아파트_전세평균임대면적,다가구주택_전세평균보증금액,아파트_전세평균보증금액,임대거래수,실거래수,평균실거래가,평균거래면적,다가구주택_실거래수,다가구주택_평균실거래가,다가구주택_평균거래면적,아파트_실거래수,아파트_평균실거래가,아파트_평균거래면적,지가변동률,아파트비율,단독주택비율,단독주택_내_다가구주택_비율,월세비율,다가구주택_전월세비율,다가구주택_실거래비율,아파트_실거래비율
동대문구,100802,19484,10796,60386,2018,6357,40.74514078968066,4284.983954695611,47.13984583923234,3383,36.02390777416495,2083.977830328111,36.49482707655927,8096,55.95491847826087,22690.814846837944,2810,3606,9866.622775800712,35871.80671103716,42.8893665480427,73.91562396006655,14453,6947,44854.12710522528,76.28733697999137,1179,64963.14503816794,137.15791348600507,3408,51084.635269953054,76.666816314554,0.50600004,0.5990555742941608,0.19328981567826034,0.5540956682406076,0.43983947969279735,1.203914590747331,0.1697135454152872,0.4905714696991507
중랑구,105691,19208,13968,51475,2018,6925,46.73483610108303,3668.3484476534295,37.35494584837545,4916,46.40965825874695,2646.1531733116353,32.78681855166802,9711,52.29318710740397,16275.59345072598,4764,2765,10029.416456759027,26106.06943942134,47.13130142737195,70.5969439421338,16636,5582,40356.42798280186,87.62249552131853,946,75183.0200845666,195.30085623678644,3045,39238.43875205254,74.47594417077175,0.36791667,0.4870329545562063,0.18173732862779235,0.7271970012494794,0.4162659293099303,1.031905961376994,0.169473307058402,0.5455034037979218
성북구,129994,24207,10257,71754,2018,5900,47.823052542372885,5570.005762711864,46.52338983050848,3397,41.57413011480718,2841.7279952899617,36.754489255225195,8586,61.55485441416259,24134.480899138132,2882,4157,10140.978487161694,36678.455376473416,46.26182859125607,77.47876353139283,14486,9385,44499.489824187534,79.27414171550346,1212,62913.93811881188,132.40233498349835,5645,49632.754827280776,79.98786182462355,0.46491662,0.5519793221225595,0.18621628690554948,0.4237204114512331,0.4072897970454232,1.1786953504510755,0.1291422482685136,0.6014917421417155
강북구,95097,18185,10348,33282,2018,4009,44.271095036168624,3060.0616113744077,39.03591918184086,2844,40.48962376933896,1750.689170182841,33.83790436005626,5126,54.2314494732735,15934.492391728443,2455,1500,8270.199185336049,29964.142666666667,44.624183299389,74.90444666666667,9135,5276,33414.56823351023,75.11709059893859,773,57321.14100905563,153.74115135834413,2105,41695.282660332545,76.79145843230404,0.41791666,0.3499794946212814,0.19122580102421738,0.5690404179268628,0.4388615216201423,1.1584521384928717,0.1465125094768764,0.3989764973464746
도봉구,105526,8903,5737,64580,2018,3637,48.88906516359637,3379.5144349738794,42.91119054165521,1518,44.65201581027667,1801.8603425559947,32.27733860342556,6136,57.95187744458931,17820.3536505867,1381,3311,7763.874004344678,23583.1117487164,47.3942867487328,67.55278767743884,9773,6084,32051.744247205785,72.84062623274161,317,68295.76656151419,216.19744479495267,4096,35577.9970703125,72.0440234375,0.35841665,0.6119818812425374,0.0843678335197013,0.6443895316185555,0.372147754016167,1.0992034757422158,0.05210387902695595,0.673241288625904
노원구,186533,6783,3361,161273,2018,6424,47.31427148194272,4688.9497198007475,44.26214196762142,1486,39.50155450874831,2063.273889636608,32.30820995962315,11938,59.403612832970346,21707.528312950242,1142,9680,8382.377408056042,24176.333367768595,42.51889667250438,62.890689049586776,18362,10462,37016.075511374496,66.33003918944752,271,51491.55719557196,144.01202952029521,8995,38639.32762645914,65.91476931628682,0.37866667,0.8645816021829917,0.03636353889124176,0.49550346454371225,0.34985295719420545,1.3012259194395797,0.025903268973427644,0.8597782450774231
은평구,144611,16000,8546,52607,2018,6829,44.32894274417923,3960.179528481476,42.923121979792064,3100,45.32221935483871,2352.1232258064515,36.237096774193546,11656,56.24647477693892,19544.926046671244,2714,3829,9659.853721444362,31071.88117001828,49.454848931466465,77.18592582919821,18485,10580,36035.990359168245,68.77209829867675,730,75506.42602739726,174.45341095890413,4035,49887.895662949195,79.51925898389096,0.4398333,0.363782838096687,0.1106416524330791,0.534125,0.36943467676494457,1.142225497420781,0.06899810964083176,0.3813799621928166
서대문구,94884,13378,8567,48277,2018,4630,44.72277321814255,6101.161339092872,50.36846652267818,2202,38.340190735694826,2738.0004541326066,39.86330608537693,6990,59.387208869814025,24703.172818311876,2183,3191,10833.215758131013,38342.41240990285,45.13857535501603,75.75168912566593,11620,5801,48953.780037924495,79.07969143251164,612,81764.08169934641,168.50563725490196,3141,57393.49602037568,79.5616905444126,0.43558335,0.5088002192150415,0.1409932127650605,0.6403797279114964,0.3984509466437177,1.0087036188731104,0.10549905188760558,0.5414583692466816
마포구,118619,12225,6598,66582,2018,9549,41.472093412922824,6808.02000209446,57.94941878730757,3342,38.53679533213644,2791.429383602633,47.498503889886294,11976,55.37431780227121,29780.36765197061,2257,5203,13387.915374390785,46557.073419181244,45.29189632255206,75.7844070728426,21525,6960,61159.019540229885,72.41083477011495,512,119012.23046875,163.84951171875,3538,79475.68541548897,81.43727247032221,0.65216666,0.561309739586407,0.10306106104418347,0.5397137014314929,0.44362369337979096,1.480726628267612,0.0735632183908046,0.5083333333333333
양천구,137850,7990,5515,85921,2018,5111,54.769133242026996,10563.16024261397,49.79221287419292,1911,40.914311878597594,2204.03663003663,33.19047619047619,12330,62.93391727493917,30755.0401459854,1575,6768,9648.92253968254,42776.293291962174,45.95673015873016,77.71420656028369,17441,7853,50395.91964854196,75.01421240290335,330,85468.67878787879,226.46784848484847,4464,67053.71594982079,81.64120519713262,0.41366673,0.6232934348929996,0.057961552412042074,0.6902377972465582,0.2930451235594289,1.2133333333333334,0.04202215713739972,0.5684451801859162
강서구,190525,10697,7247,111811,2018,9262,39.772743467933495,4734.970632692723,46.53303822068668,1961,42.04512493625701,2241.7180010198877,34.7715451300357,18957,52.39452339505196,22812.39842802131,2057,8331,9273.376276130286,32647.94238386748,46.15534273213417,70.88161685271876,28219,11025,39082.994376417235,66.83184036281179,427,93989.78922716627,228.7639344262295,5579,53143.7343609966,75.076734181753,0.48275003,0.5868573677995014,0.056144862878887286,0.6774796671964102,0.3282185761366455,0.9533300923675255,0.03873015873015873,0.506031746031746
구로구,124569,11827,8396,77194,2018,6695,42.082760268857356,5005.0873786407765,43.43300970873786,2492,37.30378410914928,1857.0313001605136,33.46629213483146,9938,55.86450392433085,20750.19752465285,2146,4755,8241.291239515378,29709.999369085173,42.019897483690585,70.16646477392219,16633,8058,37000.14432861752,71.04935840158848,433,70241.94919168591,183.76612009237874,4782,43270.851526557926,74.20236302802175,0.4305,0.619688686591367,0.09494336472155994,0.709901073814154,0.402513076414357,1.1612301957129543,0.05373541821792008,0.5934475055845123
금천구,65244,9217,7546,30918,2018,4701,35.995722186768774,2591.364603275899,37.40778557753669,2834,35.63342625264644,1719.164079040226,32.02505292872265,5322,47.42124013528748,16327.620255543028,1833,1583,8342.850518276051,26317.17561591914,40.57801418439716,68.23296904611497,10023,3616,35348.17146017699,78.65911227876106,376,84524.61436170213,228.21510638297875,1679,37605.51518761167,74.14335318642048,0.38275003,0.47388265587640244,0.1412696952976519,0.8187045676467397,0.46902125112241844,1.5460992907801419,0.10398230088495575,0.46432522123893805
영등포구,99971,14644,9941,68984,2018,7526,42.984483125166086,5993.619984055275,49.566170608557,3578,35.998328675237566,2421.1716042481835,35.62772498602571,11819,53.99467213808275,25791.177510787715,2928,4902,10346.256830601093,39392.13219094247,38.74488387978142,76.50387392900856,19345,6555,56261.163844393595,77.6485400457666,672,83985.60267857143,158.9972767857143,3797,66753.99683961022,79.5988780616276,0.51066667,0.6900401116323734,0.14648247991917657,0.6788445779841573,0.38904109589041097,1.2219945355191257,0.10251716247139588,0.5792524790236461
동작구,112032,14889,9908,59188,2018,9134,43.53626012699803,6784.228815414933,47.50711626888548,5452,37.150577769625826,2877.6381144534116,38.36408657373441,12295,55.63366653111021,26598.141195607972,4763,4610,11210.479529708167,46926.00151843818,37.5339659878228,80.2979240780911,21429,6219,59176.013185399584,82.5557565525004,680,109688.66323529412,188.22769117647059,3149,70913.50841536996,83.56666878374087,0.65283334,0.5283133390459869,0.13289952870608399,0.6654577204647727,0.4262448084371646,1.144656728952341,0.10934233799646245,0.5063515034571474
